maakunta,vuosi,"weighted.mean(tuottavuus, nobs)",nobs
Ahvenanmaa,2013,1.7789319375416552,2817
Ahvenanmaa,2014,1.722801633799118,2841
Ahvenanmaa,2015,1.7651049387245268,2844
Ahvenanmaa,2016,1.8908520688652304,2909
Ahvenanmaa,2017,1.832972410954449,2972
Ahvenanmaa,2018,1.8908366905325353,2968
Ahvenanmaa,2019,1.9446082829071236,3073
Ahvenanmaa,2020,1.681129201332172,3181
Ahvenanmaa,2021,2.221045135758604,3317
Etelä-Karjala,2013,2.0138727792962015,7247
Etelä-Karjala,2014,2.2179654621056533,7246
Etelä-Karjala,2015,2.2022457387293657,7215
Etelä-Karjala,2016,2.3721023450072796,7209
Etelä-Karjala,2017,2.4585150587232745,7203
Etelä-Karjala,2018,2.310701146936816,7268
Etelä-Karjala,2019,2.393213908132502,7467
Etelä-Karjala,2020,2.096643630746948,7722
Etelä-Karjala,2021,2.2874705130427904,7869
Etelä-Pohjanmaa,2013,2.044859859360354,14690
Etelä-Pohjanmaa,2014,2.147169810565317,14783
Etelä-Pohjanmaa,2015,2.0681140814179946,14851
Etelä-Pohjanmaa,2016,2.300509001301195,14864
Etelä-Pohjanmaa,2017,2.366766280584003,14946
Etelä-Pohjanmaa,2018,2.2717717719719985,15040
Etelä-Pohjanmaa,2019,2.4257717642824193,15340
Etelä-Pohjanmaa,2020,2.182220328116856,15747
Etelä-Pohjanmaa,2021,2.192000570739552,16032
Etelä-Savo,2013,2.2244190423168995,9017
Etelä-Savo,2014,2.3780252444257033,9075
Etelä-Savo,2015,2.227830131657843,9024
Etelä-Savo,2016,2.4073336001701477,9020
Etelä-Savo,2017,2.6031938967547332,9093
Etelä-Savo,2018,2.3847527708110414,9094
Etelä-Savo,2019,2.431266222900477,9314
Etelä-Savo,2020,2.254956387233753,9584
Etelä-Savo,2021,2.338160608946742,9808
Kainuu,2013,1.510385949113645,3814
Kainuu,2014,1.6698703482713313,3806
Kainuu,2015,1.5545363997523998,3756
Kainuu,2016,1.6145510504027913,3788
Kainuu,2017,1.662552643642789,3803
Kainuu,2018,1.6757966364701304,3774
Kainuu,2019,1.710531078775827,3907
Kainuu,2020,1.5822985432144807,4016
Kainuu,2021,1.6656161396236915,4140
Kanta-Häme,2013,2.1530951411596555,10583
Kanta-Häme,2014,2.2077682154401335,10647
Kanta-Häme,2015,2.185016897887963,10675
Kanta-Häme,2016,2.4178516235463823,10813
Kanta-Häme,2017,2.507342397987188,10906
Kanta-Häme,2018,2.4279569618519754,10953
Kanta-Häme,2019,2.623593194070717,11309
Kanta-Häme,2020,2.2911056438849173,11804
Kanta-Häme,2021,2.6213784182053423,12086
Keski-Pohjanmaa,2013,1.5760857069130818,4344
Keski-Pohjanmaa,2014,1.6784543121922475,4350
Keski-Pohjanmaa,2015,1.7365785461341083,4381
Keski-Pohjanmaa,2016,1.8123252491479465,4387
Keski-Pohjanmaa,2017,1.9009745715169368,4419
Keski-Pohjanmaa,2018,2.006318504219185,4476
Keski-Pohjanmaa,2019,2.104177257469778,4583
Keski-Pohjanmaa,2020,1.7714186591322687,4776
Keski-Pohjanmaa,2021,1.9580964294297087,4905
Keski-Suomi,2013,2.305341932506215,15348
Keski-Suomi,2014,2.3381821921248496,15448
Keski-Suomi,2015,2.3042426289541833,15507
Keski-Suomi,2016,2.520559557056995,15777
Keski-Suomi,2017,2.5584550969645314,16065
Keski-Suomi,2018,2.5809946611138335,16286
Keski-Suomi,2019,2.536129240257763,16951
Keski-Suomi,2020,2.2424340854300664,17609
Keski-Suomi,2021,2.674691644303072,18333
Kymenlaakso,2013,2.1306772022505305,8881
Kymenlaakso,2014,2.274487884061187,8914
Kymenlaakso,2015,2.1461421387093953,8834
Kymenlaakso,2016,2.419680511801572,8848
Kymenlaakso,2017,2.39483974757071,8891
Kymenlaakso,2018,2.4002640901242187,8916
Kymenlaakso,2019,2.414502871945873,9092
Kymenlaakso,2020,2.1496898912297024,9375
Kymenlaakso,2021,2.274179699300391,9599
Lappi,2013,1.8927245911731168,11533
Lappi,2014,1.9490493214339892,11548
Lappi,2015,1.9418557948156892,11460
Lappi,2016,2.015864732494239,11606
Lappi,2017,2.104397037602782,11761
Lappi,2018,2.034421677249445,11996
Lappi,2019,2.0991428104413257,12494
Lappi,2020,1.905664450672925,13054
Lappi,2021,2.1407109527319608,13537
Päijät-Häme,2013,2.174598403799079,12632
Päijät-Häme,2014,2.2724848596039133,12572
Päijät-Häme,2015,2.2110064435255494,12522
Päijät-Häme,2016,2.3283007887906044,12611
Päijät-Häme,2017,2.4245269774244522,12678
Päijät-Häme,2018,2.2640005492824367,12774
Päijät-Häme,2019,2.33305599564319,13191
Päijät-Häme,2020,2.1310928478688336,13658
Päijät-Häme,2021,2.430800883040483,14024
Pirkanmaa,2013,2.38104778421822,32360
Pirkanmaa,2014,2.5673935359754134,32495
Pirkanmaa,2015,2.48409663038978,32648
Pirkanmaa,2016,2.6468648872812928,32933
Pirkanmaa,2017,2.6674208875015095,33494
Pirkanmaa,2018,2.611621395397847,34071
Pirkanmaa,2019,2.6036929209288324,35537
Pirkanmaa,2020,2.4596985271066467,37337
Pirkanmaa,2021,2.7804786169628155,38951
Pohjanmaa,2013,1.8943908673787,14690
Pohjanmaa,2014,1.9389867584572407,14783
Pohjanmaa,2015,1.8776099869332532,14851
Pohjanmaa,2016,2.1912931451964144,14864
Pohjanmaa,2017,2.296580784907862,14946
Pohjanmaa,2018,2.269467841477941,15040
Pohjanmaa,2019,2.2168699424011744,15340
