toimiala,vuosi,"weighted.mean(tuottavuus, nobs)",nobs
"Ammatillinen, tieteellinen ja tekninen toiminta",2013,2.6148008333891424,49832
"Ammatillinen, tieteellinen ja tekninen toiminta",2014,2.6191514834568386,50773
"Ammatillinen, tieteellinen ja tekninen toiminta",2015,2.4682054399024214,51188
"Ammatillinen, tieteellinen ja tekninen toiminta",2016,2.6671526534507124,52376
"Ammatillinen, tieteellinen ja tekninen toiminta",2017,2.7431543291086355,53806
"Ammatillinen, tieteellinen ja tekninen toiminta",2018,2.6717361755462576,54962
"Ammatillinen, tieteellinen ja tekninen toiminta",2019,2.7435335570058066,57894
"Ammatillinen, tieteellinen ja tekninen toiminta",2020,2.4654133283665587,61369
"Ammatillinen, tieteellinen ja tekninen toiminta",2021,2.9323552249485014,64469
Hallinto- ja tukipalvelutoiminta,2013,2.199233440559302,18416
Hallinto- ja tukipalvelutoiminta,2014,2.0156733918528102,18607
Hallinto- ja tukipalvelutoiminta,2015,2.1381303149469426,18553
Hallinto- ja tukipalvelutoiminta,2016,2.1578227603423312,18879
Hallinto- ja tukipalvelutoiminta,2017,2.2343695899817932,19266
Hallinto- ja tukipalvelutoiminta,2018,2.22849041710799,19669
Hallinto- ja tukipalvelutoiminta,2019,2.2166462853114233,20830
Hallinto- ja tukipalvelutoiminta,2020,1.9982092368126436,22253
Hallinto- ja tukipalvelutoiminta,2021,2.2768000467849077,23452
Informaatio ja viestintä,2013,1.8402975268763053,14244
Informaatio ja viestintä,2014,1.9868766453714641,14755
Informaatio ja viestintä,2015,1.9458564247809453,15089
Informaatio ja viestintä,2016,1.919560285782535,15567
Informaatio ja viestintä,2017,2.0502302872564346,16353
Informaatio ja viestintä,2018,2.022977173075173,16936
Informaatio ja viestintä,2019,2.014555479711968,18029
Informaatio ja viestintä,2020,1.8195163713457652,19216
Informaatio ja viestintä,2021,2.1980016342324955,20255
Kaivostoiminta ja louhinta,2013,1.3668805350588622,1104
Kaivostoiminta ja louhinta,2014,1.2790929449203743,1118
Kaivostoiminta ja louhinta,2015,1.1550955262536255,1102
Kaivostoiminta ja louhinta,2016,1.1978793768644216,1103
Kaivostoiminta ja louhinta,2017,1.347624537359979,1114
Kaivostoiminta ja louhinta,2018,1.4509180729220217,1102
Kaivostoiminta ja louhinta,2019,1.353730482485646,1111
Kaivostoiminta ja louhinta,2020,1.2575362295437738,1111
Kaivostoiminta ja louhinta,2021,1.304562583494047,1140
Kiinteistöalan toiminta,2013,1.992254034271835,26072
Kiinteistöalan toiminta,2014,2.0909305310609714,26353
Kiinteistöalan toiminta,2015,2.1102487738006803,26639
Kiinteistöalan toiminta,2016,2.164714666003934,27237
Kiinteistöalan toiminta,2017,2.0632914942317844,27670
Kiinteistöalan toiminta,2018,1.9490304413857198,28044
Kiinteistöalan toiminta,2019,1.960385693326734,28791
Kiinteistöalan toiminta,2020,1.7922428506557513,29620
Kiinteistöalan toiminta,2021,1.5508775897593232,30479
Koulutus,2013,2.6616942345817076,5195
Koulutus,2014,2.7048958548229223,5479
Koulutus,2015,2.5243842159782703,5776
Koulutus,2016,3.0430336418971073,6050
Koulutus,2017,3.1023386619587403,6356
Koulutus,2018,3.194149460627254,6738
Koulutus,2019,3.3586827292509627,7397
Koulutus,2020,3.0558548894265978,8237
Koulutus,2021,3.7325011026447146,8800
Kuljetus ja varastointi,2013,1.5988499359701505,23584
Kuljetus ja varastointi,2014,1.8616704174645982,23257
Kuljetus ja varastointi,2015,1.8274480794938248,22812
Kuljetus ja varastointi,2016,1.903457271794941,22612
Kuljetus ja varastointi,2017,1.982589252565577,22346
Kuljetus ja varastointi,2018,1.947231134614128,22113
Kuljetus ja varastointi,2019,1.9778279015873892,23070
Kuljetus ja varastointi,2020,1.8422363232522034,24360
Kuljetus ja varastointi,2021,2.0138884488450732,24754
"Maatalous, metsätalous ja kalatalous",2013,2.0756594507527777,20913
"Maatalous, metsätalous ja kalatalous",2014,2.176438309692769,21186
"Maatalous, metsätalous ja kalatalous",2015,1.8798062910646909,21379
"Maatalous, metsätalous ja kalatalous",2016,2.3897873179580253,21617
"Maatalous, metsätalous ja kalatalous",2017,2.5905240021808558,21955
"Maatalous, metsätalous ja kalatalous",2018,2.175396891207054,22110
"Maatalous, metsätalous ja kalatalous",2019,2.194763876481386,22662
"Maatalous, metsätalous ja kalatalous",2020,1.8760649657418866,23394
"Maatalous, metsätalous ja kalatalous",2021,1.3284231764232646,24007
Majoitus- ja ravitsemistoiminta,2013,1.9175256488482204,13126
Majoitus- ja ravitsemistoiminta,2014,2.1626296889534458,13225
Majoitus- ja ravitsemistoiminta,2015,2.1567884763872907,13390
Majoitus- ja ravitsemistoiminta,2016,2.24363443999536,13753
Majoitus- ja ravitsemistoiminta,2017,2.332094693763826,14147
Majoitus- ja ravitsemistoiminta,2018,2.2651728224709218,14479
Majoitus- ja ravitsemistoiminta,2019,2.4038366392379187,15104
Majoitus- ja ravitsemistoiminta,2020,2.1686268070072097,15833
Majoitus- ja ravitsemistoiminta,2021,2.5664922453433885,16280
