"","x","y","breaks","toimiala"
"1",183034,1427043.95976234,0,"toimialat yhteensä"
"2",6,1499.57123406179,200,"toimialat yhteensä"
"3",NA,NA,400,"toimialat yhteensä"
"4",864,630720,600,"toimialat yhteensä"
"5",288,235584,800,"toimialat yhteensä"
"6",864,959616,1000,"toimialat yhteensä"
"7",576,723744,1200,"toimialat yhteensä"
"8",NA,NA,1400,"toimialat yhteensä"
"9",NA,NA,0,"Toimiala tuntematon"
"10",NA,NA,0.2,"Toimiala tuntematon"
"11",159,1151.62513343559,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"12",NA,NA,200,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"13",NA,NA,400,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"14",18,13140,600,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"15",6,4908,800,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"16",18,19992,1000,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"17",12,15078,1200,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"18",NA,NA,1400,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"19",737,882.932629718563,0,"Rahoitus- ja vakuutustoiminta"
"20",116,875.556293739181,5,"Rahoitus- ja vakuutustoiminta"
"21",30,358.168386684459,10,"Rahoitus- ja vakuutustoiminta"
"22",NA,NA,15,"Rahoitus- ja vakuutustoiminta"
"23",14,302.287246694454,20,"Rahoitus- ja vakuutustoiminta"
"24",NA,NA,25,"Rahoitus- ja vakuutustoiminta"
"25",NA,NA,30,"Rahoitus- ja vakuutustoiminta"
"26",NA,NA,35,"Rahoitus- ja vakuutustoiminta"
"27",946,3745.50095212039,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"28",494,7744.57248517793,10,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"29",92,2112.97897579255,20,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"30",228,7911.6,30,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"31",434,19192.851225556,40,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"32",206,11655.2010784718,50,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"33",186,12507.24,60,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"34",NA,NA,70,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"35",NA,NA,80,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"36",1746,2940.72230840214,0,"Terveys- ja sosiaalipalvelut"
"37",830,6421.13733049942,5,"Terveys- ja sosiaalipalvelut"
"38",946,10100.183684822,10,"Terveys- ja sosiaalipalvelut"
"39",1106,20772.0345174443,15,"Terveys- ja sosiaalipalvelut"
"40",179,4402.87655359208,20,"Terveys- ja sosiaalipalvelut"
"41",33,1616.4,25,"Terveys- ja sosiaalipalvelut"
"42",33,1083.48,30,"Terveys- ja sosiaalipalvelut"
"43",72,1363.8,35,"Terveys- ja sosiaalipalvelut"
"44",42,3245.86960775481,40,"Terveys- ja sosiaalipalvelut"
"45",NA,NA,45,"Terveys- ja sosiaalipalvelut"
"46",336,1383.76813022666,0,"Kaivostoiminta ja louhinta"
"47",8,103.370287154656,10,"Kaivostoiminta ja louhinta"
"48",NA,NA,20,"Kaivostoiminta ja louhinta"
"49",NA,NA,30,"Kaivostoiminta ja louhinta"
"50",NA,NA,40,"Kaivostoiminta ja louhinta"
"51",8,454.66383621721,50,"Kaivostoiminta ja louhinta"
"52",NA,NA,60,"Kaivostoiminta ja louhinta"
"53",8,593.381752775689,70,"Kaivostoiminta ja louhinta"
"54",NA,NA,80,"Kaivostoiminta ja louhinta"
"55",NA,NA,90,"Kaivostoiminta ja louhinta"
"56",NA,NA,100,"Kaivostoiminta ja louhinta"
"57",NA,NA,110,"Kaivostoiminta ja louhinta"
"58",NA,NA,120,"Kaivostoiminta ja louhinta"
"59",4363,7400.02914964896,0,"Informaatio ja viestintä"
"60",1346,10014.4260700171,5,"Informaatio ja viestintä"
"61",822,9068.00981830669,10,"Informaatio ja viestintä"
"62",83,2574.1589950918,15,"Informaatio ja viestintä"
"63",91,2015.28,20,"Informaatio ja viestintä"
"64",17,472.492475766872,25,"Informaatio ja viestintä"
"65",16,524.338923535436,30,"Informaatio ja viestintä"
"66",7,0,35,"Informaatio ja viestintä"
"67",NA,NA,40,"Informaatio ja viestintä"
"68",14924,51549.7897674767,0,"Majoitus- ja ravitsemistoiminta"
"69",1544,21118.4178198679,10,"Majoitus- ja ravitsemistoiminta"
"70",381,9043.44487798252,20,"Majoitus- ja ravitsemistoiminta"
"71",149,5666.93238495375,30,"Majoitus- ja ravitsemistoiminta"
"72",9,437.966085833023,40,"Majoitus- ja ravitsemistoiminta"
"73",9,498.708503086582,50,"Majoitus- ja ravitsemistoiminta"
"74",33,1977,60,"Majoitus- ja ravitsemistoiminta"
"75",90,4504.5,70,"Majoitus- ja ravitsemistoiminta"
"76",30,5067,80,"Majoitus- ja ravitsemistoiminta"
"77",NA,NA,90,"Majoitus- ja ravitsemistoiminta"
"78",3674,6337.66946474641,0,"Muu palvelutoiminta"
"79",393,2723.42759548006,5,"Muu palvelutoiminta"
