"","x","y","breaks","vuosikymmen","toimiala"
"1",4882,39709.7742032523,0,8,"Toimialat yhteensä"
"2",62,8004.6,100,8,"Toimialat yhteensä"
"3",NA,NA,200,8,"Toimialat yhteensä"
"4",NA,NA,300,8,"Toimialat yhteensä"
"5",NA,NA,400,8,"Toimialat yhteensä"
"6",NA,NA,500,8,"Toimialat yhteensä"
"7",NA,NA,600,8,"Toimialat yhteensä"
"8",NA,NA,700,8,"Toimialat yhteensä"
"9",NA,NA,800,8,"Toimialat yhteensä"
"10",16381,94532.3855097149,0,2,"Toimialat yhteensä"
"11",248,16559.009139781,50,2,"Toimialat yhteensä"
"12",58,7309.34679575,100,2,"Toimialat yhteensä"
"13",23,4236.36559505,150,2,"Toimialat yhteensä"
"14",6,1091.27102443,200,2,"Toimialat yhteensä"
"15",10,2974.89572749,250,2,"Toimialat yhteensä"
"16",NA,NA,300,2,"Toimialat yhteensä"
"17",NA,NA,350,2,"Toimialat yhteensä"
"18",NA,NA,400,2,"Toimialat yhteensä"
"19",NA,NA,450,2,"Toimialat yhteensä"
"20",NA,NA,500,2,"Toimialat yhteensä"
"21",73804,365911.676118381,0,0,"Toimialat yhteensä"
"22",230,31415,100,0,"Toimialat yhteensä"
"23",62,15056.2,200,0,"Toimialat yhteensä"
"24",17,5398.6,300,0,"Toimialat yhteensä"
"25",10,4790.9,400,0,"Toimialat yhteensä"
"26",NA,NA,500,0,"Toimialat yhteensä"
"27",NA,NA,600,0,"Toimialat yhteensä"
"28",NA,NA,700,0,"Toimialat yhteensä"
"29",NA,NA,800,0,"Toimialat yhteensä"
"30",28968,353861.28613229,0,9,"Toimialat yhteensä"
"31",39,26750.5,500,9,"Toimialat yhteensä"
"32",17,20414,1000,9,"Toimialat yhteensä"
"33",8,13930,1500,9,"Toimialat yhteensä"
"34",NA,NA,2000,9,"Toimialat yhteensä"
"35",NA,NA,2500,9,"Toimialat yhteensä"
"36",NA,NA,3000,9,"Toimialat yhteensä"
"37",114091,789849.103150875,0,1,"Toimialat yhteensä"
"38",73,48714.88122559,500,1,"Toimialat yhteensä"
"39",NA,NA,1000,1,"Toimialat yhteensä"
"40",NA,NA,1500,1,"Toimialat yhteensä"
"41",12,27688.4,2000,1,"Toimialat yhteensä"
"42",9,24133,2500,1,"Toimialat yhteensä"
"43",NA,NA,3000,1,"Toimialat yhteensä"
"44",NA,NA,0,2,"Kansainvälisten organisaatioiden ja toimielinten toiminta"
