"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"1","Ahvenanmaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.5731698032257,130
"2","Etelä-Karjala",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",1.97356916963709,2460
"3","Etelä-Pohjanmaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.39587120522876,1843
"4","Etelä-Savo",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.64350577585964,2159
"5","Kainuu",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",1.68326968510631,348
"6","Kanta-Häme",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",3.10700549620562,2379
"7","Keski-Pohjanmaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.27543938804528,950
"8","Keski-Suomi",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.7294716577943,3351
"9","Kymenlaakso",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.40831483490618,2492
"10","Lappi",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.25912365686591,942
"11","Päijät-Häme",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.7388019986485,1508
"12","Pirkanmaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.73969407162476,7897
"13","Pohjanmaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.3588554514767,1637
"14","Pohjois-Karjala",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.42109879976121,2156
"15","Pohjois-Savo",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.11655306673833,4772
"16","Satakunta",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.55164412705976,2366
"17","Uusimaa",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",3.35870749596348,5681
"18","Varsinais-Suomi",2013,"Ammatillinen, tieteellinen ja tekninen toiminta",2.59724055838671,9705
"19","Etelä-Savo",2013,"Hallinto- ja tukipalvelutoiminta",2.04241807747977,964
"20","Kainuu",2013,"Hallinto- ja tukipalvelutoiminta",1.27726287210894,231
"21","Kanta-Häme",2013,"Hallinto- ja tukipalvelutoiminta",2.08149453553682,1184
"22","Keski-Pohjanmaa",2013,"Hallinto- ja tukipalvelutoiminta",1.38624248427193,482
"23","Keski-Suomi",2013,"Hallinto- ja tukipalvelutoiminta",2.43501970286134,1296
"24","Kymenlaakso",2013,"Hallinto- ja tukipalvelutoiminta",2.45629289506455,1230
"25","Lappi",2013,"Hallinto- ja tukipalvelutoiminta",1.99962258335861,696
"26","Päijät-Häme",2013,"Hallinto- ja tukipalvelutoiminta",2.41210248185536,606
"27","Pirkanmaa",2013,"Hallinto- ja tukipalvelutoiminta",2.2829126056467,2939
"28","Pohjanmaa",2013,"Hallinto- ja tukipalvelutoiminta",1.91832157680937,791
"29","Pohjois-Karjala",2013,"Hallinto- ja tukipalvelutoiminta",2.0110124737639,1093
"30","Pohjois-Pohjanmaa",2013,"Hallinto- ja tukipalvelutoiminta",1.61150181895665,2335
"31","Pohjois-Savo",2013,"Hallinto- ja tukipalvelutoiminta",1.65153141489924,2305
"32","Satakunta",2013,"Hallinto- ja tukipalvelutoiminta",2.18958491878903,1227
"33","Uusimaa",2013,"Hallinto- ja tukipalvelutoiminta",2.86021616574951,2858
"34","Varsinais-Suomi",2013,"Hallinto- ja tukipalvelutoiminta",2.45304718954209,4819
"35","Ahvenanmaa",2013,"Informaatio ja viestintä",2.23272986853071,46
"36","Etelä-Karjala",2013,"Informaatio ja viestintä",2.00011248918374,748
"37","Etelä-Pohjanmaa",2013,"Informaatio ja viestintä",1.44808634830151,424
"38","Etelä-Savo",2013,"Informaatio ja viestintä",1.29706900917451,571
"39","Kainuu",2013,"Informaatio ja viestintä",1.05280769774656,124
"40","Kanta-Häme",2013,"Informaatio ja viestintä",2.3309096307858,642
"41","Keski-Pohjanmaa",2013,"Informaatio ja viestintä",2.13607343782804,202
"42","Keski-Suomi",2013,"Informaatio ja viestintä",1.73631861065229,1163
"43","Kymenlaakso",2013,"Informaatio ja viestintä",1.85457104840732,494
"44","Lappi",2013,"Informaatio ja viestintä",2.2592665092731,205
"45","Päijät-Häme",2013,"Informaatio ja viestintä",1.92476126290831,297
"46","Pirkanmaa",2013,"Informaatio ja viestintä",1.80495385282647,3025
"47","Pohjanmaa",2013,"Informaatio ja viestintä",2.22152847945077,471
"48","Pohjois-Karjala",2013,"Informaatio ja viestintä",1.35314457931174,626
"49","Pohjois-Pohjanmaa",2013,"Informaatio ja viestintä",1.37338951033595,2456
"50","Pohjois-Savo",2013,"Informaatio ja viestintä",1.72404766613289,1479
"51","Satakunta",2013,"Informaatio ja viestintä",2.17434860495035,599
"52","Uusimaa",2013,"Informaatio ja viestintä",2.56522593444959,1331
"53","Varsinais-Suomi",2013,"Informaatio ja viestintä",2.00195982019069,2788
"56","Etelä-Karjala",2013,"Kaivostoiminta ja louhinta",1.71403633729055,125
"57","Etelä-Pohjanmaa",2013,"Kaivostoiminta ja louhinta",1.61862867392121,199
"58","Etelä-Savo",2013,"Kaivostoiminta ja louhinta",1.43055719280457,90
"59","Kainuu",2013,"Kaivostoiminta ja louhinta",1.14893645186613,46
"60","Kanta-Häme",2013,"Kaivostoiminta ja louhinta",1.1745702984578,87
"61","Keski-Pohjanmaa",2013,"Kaivostoiminta ja louhinta",0.874843883481363,33
"62","Keski-Suomi",2013,"Kaivostoiminta ja louhinta",2.16031232621653,91
"63","Kymenlaakso",2013,"Kaivostoiminta ja louhinta",0.646544209808337,127
"64","Lappi",2013,"Kaivostoiminta ja louhinta",1.56953332328099,74
"65","Päijät-Häme",2013,"Kaivostoiminta ja louhinta",1.60225938812587,23
"66","Pirkanmaa",2013,"Kaivostoiminta ja louhinta",1.45423327664371,147
"67","Pohjanmaa",2013,"Kaivostoiminta ja louhinta",0.390390666904738,35
"68","Pohjois-Karjala",2013,"Kaivostoiminta ja louhinta",1.03972016550606,61
"69","Pohjois-Pohjanmaa",2013,"Kaivostoiminta ja louhinta",1.51143145675662,331
"70","Pohjois-Savo",2013,"Kaivostoiminta ja louhinta",1.29733068303968,183
"71","Satakunta",2013,"Kaivostoiminta ja louhinta",1.85163028627444,90
"72","Uusimaa",2013,"Kaivostoiminta ja louhinta",0.76174527537995,114
"73","Varsinais-Suomi",2013,"Kaivostoiminta ja louhinta",1.28642277466233,321
"74","Ahvenanmaa",2013,"Kiinteistöalan toiminta",0.873096418576052,88
"75","Etelä-Karjala",2013,"Kiinteistöalan toiminta",1.79941679541243,1286
"76","Etelä-Pohjanmaa",2013,"Kiinteistöalan toiminta",2.11638109204882,1205
"77","Etelä-Savo",2013,"Kiinteistöalan toiminta",1.85763465300288,1094
"78","Kainuu",2013,"Kiinteistöalan toiminta",1.84183822697081,202
"79","Kanta-Häme",2013,"Kiinteistöalan toiminta",2.099993946309,1364
"80","Keski-Pohjanmaa",2013,"Kiinteistöalan toiminta",1.86140268241224,623
"81","Keski-Suomi",2013,"Kiinteistöalan toiminta",2.19483262884835,1718
"82","Kymenlaakso",2013,"Kiinteistöalan toiminta",2.08191489233882,1113
"83","Lappi",2013,"Kiinteistöalan toiminta",1.7820020836908,671
"84","Päijät-Häme",2013,"Kiinteistöalan toiminta",1.90018172746245,737
"85","Pirkanmaa",2013,"Kiinteistöalan toiminta",2.17209445972738,3527
"86","Pohjanmaa",2013,"Kiinteistöalan toiminta",2.17270871107186,876
"87","Pohjois-Karjala",2013,"Kiinteistöalan toiminta",1.51184854734712,1165
"88","Pohjois-Pohjanmaa",2013,"Kiinteistöalan toiminta",1.97679921254478,3104
"89","Pohjois-Savo",2013,"Kiinteistöalan toiminta",1.89953457839074,2530
"90","Satakunta",2013,"Kiinteistöalan toiminta",1.88244597367662,1374
"91","Uusimaa",2013,"Kiinteistöalan toiminta",2.02838762190208,2252
"92","Varsinais-Suomi",2013,"Kiinteistöalan toiminta",2.03349578591348,4597
"96","Etelä-Karjala",2013,"Koulutus",1.89404032665163,250
"97","Etelä-Pohjanmaa",2013,"Koulutus",1.34290206476288,187
"98","Etelä-Savo",2013,"Koulutus",3.69038304944904,244
"99","Kainuu",2013,"Koulutus",1.16934631037362,67
"100","Kanta-Häme",2013,"Koulutus",2.26681685406827,290
"101","Keski-Pohjanmaa",2013,"Koulutus",1.33215349575803,71
"102","Keski-Suomi",2013,"Koulutus",2.41915760939985,356
"103","Kymenlaakso",2013,"Koulutus",2.43491822600175,273
"104","Lappi",2013,"Koulutus",2.00352225697916,100
"105","Päijät-Häme",2013,"Koulutus",2.36729225828593,105
"106","Pirkanmaa",2013,"Koulutus",3.22933860415757,765
"107","Pohjanmaa",2013,"Koulutus",1.68456108296676,105
"108","Pohjois-Karjala",2013,"Koulutus",2.49014579960568,220
