"","Bankruptcies monthly from 1986 by Month and Information","...2","...3"
"1",NA,NA,NA
"2",NA,"Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"3","1986M01","229","1625"
"4","1986M02","225","1923"
"5","1986M03","194","1721"
"6","1986M04","142","1386"
"7","1986M05","123","1553"
"8","1986M06","228","1881"
"9","1986M07","222","980"
"10","1986M08","170","1428"
"11","1986M09","231","1138"
"12","1986M10","260","1963"
"13","1986M11","226","1354"
"14","1986M12","253","1516"
"15","1987M01","254","1452"
"16","1987M02","258","1483"
"17","1987M03","299","1716"
"18","1987M04","260","1475"
"19","1987M05","232","1736"
"20","1987M06","241","1180"
"21","1987M07","186","1121"
"22","1987M08","180","1004"
"23","1987M09","277","2100"
"24","1987M10","230","2283"
"25","1987M11","223","999"
"26","1987M12","204","928"
"27","1988M01","250","1913"
"28","1988M02","245","1479"
"29","1988M03","286","1668"
"30","1988M04","189","1070"
"31","1988M05","262","2320"
"32","1988M06","228","885"
"33","1988M07","135","579"
"34","1988M08","211","837"
"35","1988M09","248","926"
"36","1988M10","192","766"
"37","1988M11","212","1396"
"38","1988M12","125","502"
"39","1989M01","332","1509"
"40","1989M02","216","1421"
"41","1989M03","246","1571"
"42","1989M04","191","972"
"43","1989M05","247","1529"
"44","1989M06","245","1683"
"45","1989M07","155","712"
"46","1989M08","203","1820"
"47","1989M09","227","1056"
"48","1989M10","247","6434"
"49","1989M11","260","2737"
"50","1989M12","180","972"
"51","1990M01","311","2274"
"52","1990M02","237","1700"
"53","1990M03","244","1574"
"54","1990M04","208","1138"
"55","1990M05","336","1545"
"56","1990M06","287","1617"
"57","1990M07","239","1185"
"58","1990M08","353","1577"
"59","1990M09","273","1777"
"60","1990M10","433","2605"
"61","1990M11","439","2531"
"62","1990M12","274","1578"
"63","1991M01","553","3274"
"64","1991M02","533","2924"
"65","1991M03","515","3148"
"66","1991M04","476","3587"
"67","1991M05","547","3326"
"68","1991M06","421","2801"
"69","1991M07","450","2552"
"70","1991M08","505","2648"
"71","1991M09","555","2896"
"72","1991M10","589","2831"
"73","1991M11","576","3874"
"74","1991M12","535","4339"
"75","1992M01","636","4284"
"76","1992M02","626","2844"
"77","1992M03","650","3859"
"78","1992M04","565","3793"
"79","1992M05","520","2522"
"80","1992M06","563","3174"
"81","1992M07","485","4752"
"82","1992M08","610","3427"
"83","1992M09","698","3723"
"84","1992M10","680","4004"
"85","1992M11","657","3236"
"86","1992M12","701","4432"
"87","1993M01","578","3923"
"88","1993M02","605","2729"
"89","1993M03","737","3577"
"90","1993M04","580","2960"
"91","1993M05","652","3001"
"92","1993M06","561","3177"
"93","1993M07","401","1890"
"94","1993M08","500","2458"
"95","1993M09","671","2814"
"96","1993M10","587","2676"
"97","1993M11","547","3622"
"98","1993M12","442","2455"
"99","1994M01","514","2500"
"100","1994M02","483","3285"
"101","1994M03","610","6935"
"102","1994M04","436","1901"
"103","1994M05","488","2154"
"104","1994M06","461","2440"
"105","1994M07","284","1395"
"106","1994M08","447","1582"
"107","1994M09","495","1732"
"108","1994M10","477","1603"
"109","1994M11","485","2148"
"110","1994M12","365","2377"
"111","1995M01","476","1645"
"112","1995M02","460","1505"
"113","1995M03","466","1508"
"114","1995M04","392","1238"
"115","1995M05","364","1231"
"116","1995M06","404","1624"
"117","1995M07","271","958"
"118","1995M08","333","1052"
"119","1995M09","418","1473"
"120","1995M10","371","1059"
"121","1995M11","418","1547"
"122","1995M12","327","1082"
"123","1996M01","417","1617"
"124","1996M02","416","1484"
"125","1996M03","417","1316"
"126","1996M04","353","1397"
"127","1996M05","371","966"
"128","1996M06","333","1136"
"129","1996M07","283","689"
"130","1996M08","389","1225"
"131","1996M09","418","1211"
"132","1996M10","376","1074"
"133","1996M11","314","921"
"134","1996M12","209","515"
"135","1997M01","360","1067"
"136","1997M02","319","898"
"137","1997M03","331","888"
"138","1997M04","314","910"
"139","1997M05","287","967"
"140","1997M06","256","823"
"141","1997M07","239","589"
"142","1997M08","241","597"
"143","1997M09","341","1034"
"144","1997M10","401","1218"
"145","1997M11","248","690"
"146","1997M12","275","792"
"147","1998M01","251","690"
"148","1998M02","275","754"
"149","1998M03","307","885"
"150","1998M04","281","770"
"151","1998M05","248","521"
"152","1998M06","268","696"
"153","1998M07","202","647"
"154","1998M08","240","727"
"155","1998M09","318","810"
"156","1998M10","256","737"
"157","1998M11","293","806"
"158","1998M12","199","569"
"159","1999M01","212","716"
"160","1999M02","307","811"
"161","1999M03","283","895"
"162","1999M04","230","668"
"163","1999M05","313","826"
"164","1999M06","251","845"
"165","1999M07","186","483"
"166","1999M08","281","866"
"167","1999M09","308","893"
"168","1999M10","255","768"
"169","1999M11","269","796"
"170","1999M12","185","659"
"171","2000M01","202","871"
"172","2000M02","246","929"
"173","2000M03","309","963"
"174","2000M04","241","973"
"175","2000M05","273","1704"
"176","2000M06","265","857"
"177","2000M07","138","453"
"178","2000M08","271","753"
"179","2000M09","267","1010"
