"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"1",NA,NA,NA,NA,NA
"2",NA,NA,NA,"Vireille pannut konkurssit, yritysten lukumäärä",NA
"3","2003M01","Yhteensä","KOKO MAA","198",819
"4",NA,NA,"MA1 MANNER-SUOMI","198",819
"5",NA,NA,"MK01 Uusimaa","63",304
"6",NA,NA,"MK02 Varsinais-Suomi","19",66
"7",NA,NA,"MK04 Satakunta","9",37
"8",NA,NA,"MK05 Kanta-Häme","2",21
"9",NA,NA,"MK06 Pirkanmaa","10",26
"10",NA,NA,"MK07 Päijät-Häme","10",54
"11",NA,NA,"MK08 Kymenlaakso","3",3
"12",NA,NA,"MK09 Etelä-Karjala","6",16
"13",NA,NA,"MK10 Etelä-Savo","8",12
"14",NA,NA,"MK11 Pohjois-Savo","15",95
"15",NA,NA,"MK12 Pohjois-Karjala","2",3
"16",NA,NA,"MK13 Keski-Suomi","16",65
"17",NA,NA,"MK14 Etelä-Pohjanmaa","5",8
"18",NA,NA,"MK15 Pohjanmaa","7",42
"19",NA,NA,"MK16 Keski-Pohjanmaa","3",7
"20",NA,NA,"MK17 Pohjois-Pohjanmaa","12",35
"21",NA,NA,"MK18 Kainuu","1",1
"22",NA,NA,"MK19 Lappi","7",24
"23",NA,NA,"MA2 AHVENANMAA","0",0
"24",NA,NA,"MK21 Ahvenanmaa","0",0
"25",NA,"Maa-, metsä ja kalatalous","KOKO MAA","6",35
"26",NA,NA,"MA1 MANNER-SUOMI","6",35
"27",NA,NA,"MK01 Uusimaa","2",31
"28",NA,NA,"MK02 Varsinais-Suomi","0",0
"29",NA,NA,"MK04 Satakunta","0",0
"30",NA,NA,"MK05 Kanta-Häme","0",0
"31",NA,NA,"MK06 Pirkanmaa","0",0
"32",NA,NA,"MK07 Päijät-Häme","0",0
"33",NA,NA,"MK08 Kymenlaakso","0",0
"34",NA,NA,"MK09 Etelä-Karjala","0",0
"35",NA,NA,"MK10 Etelä-Savo","0",0
"36",NA,NA,"MK11 Pohjois-Savo","0",0
"37",NA,NA,"MK12 Pohjois-Karjala","0",0
"38",NA,NA,"MK13 Keski-Suomi","1",1
"39",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"40",NA,NA,"MK15 Pohjanmaa","1",1
"41",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"42",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"43",NA,NA,"MK18 Kainuu","0",0
"44",NA,NA,"MK19 Lappi","2",2
"45",NA,NA,"MA2 AHVENANMAA","0",0
"46",NA,NA,"MK21 Ahvenanmaa","0",0
"47",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","33",245
"48",NA,NA,"MA1 MANNER-SUOMI","33",245
"49",NA,NA,"MK01 Uusimaa","6",113
"50",NA,NA,"MK02 Varsinais-Suomi","3",5
"51",NA,NA,"MK04 Satakunta","2",17
"52",NA,NA,"MK05 Kanta-Häme","1",19
"53",NA,NA,"MK06 Pirkanmaa","3",8
"54",NA,NA,"MK07 Päijät-Häme","3",38
"55",NA,NA,"MK08 Kymenlaakso","1",1
"56",NA,NA,"MK09 Etelä-Karjala","2",9
"57",NA,NA,"MK10 Etelä-Savo","0",0
"58",NA,NA,"MK11 Pohjois-Savo","2",3
"59",NA,NA,"MK12 Pohjois-Karjala","0",0
"60",NA,NA,"MK13 Keski-Suomi","4",13
"61",NA,NA,"MK14 Etelä-Pohjanmaa","1",3
"62",NA,NA,"MK15 Pohjanmaa","1",1
"63",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"64",NA,NA,"MK17 Pohjois-Pohjanmaa","3",12
"65",NA,NA,"MK18 Kainuu","0",0
"66",NA,NA,"MK19 Lappi","1",3
"67",NA,NA,"MA2 AHVENANMAA","0",0
"68",NA,NA,"MK21 Ahvenanmaa","0",0
"69",NA,"Rakennustoiminta","KOKO MAA","28",152
"70",NA,NA,"MA1 MANNER-SUOMI","28",152
"71",NA,NA,"MK01 Uusimaa","8",54
"72",NA,NA,"MK02 Varsinais-Suomi","6",37
"73",NA,NA,"MK04 Satakunta","1",6
"74",NA,NA,"MK05 Kanta-Häme","0",0
"75",NA,NA,"MK06 Pirkanmaa","1",2
"76",NA,NA,"MK07 Päijät-Häme","4",12
"77",NA,NA,"MK08 Kymenlaakso","0",0
"78",NA,NA,"MK09 Etelä-Karjala","0",0
"79",NA,NA,"MK10 Etelä-Savo","3",3
"80",NA,NA,"MK11 Pohjois-Savo","1",4
"81",NA,NA,"MK12 Pohjois-Karjala","0",0
"82",NA,NA,"MK13 Keski-Suomi","2",31
"83",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"84",NA,NA,"MK15 Pohjanmaa","0",0
"85",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"86",NA,NA,"MK17 Pohjois-Pohjanmaa","2",3
"87",NA,NA,"MK18 Kainuu","0",0
"88",NA,NA,"MK19 Lappi","0",0
"89",NA,NA,"MA2 AHVENANMAA","0",0
"90",NA,NA,"MK21 Ahvenanmaa","0",0
"91",NA,"Kauppa","KOKO MAA","32",64
"92",NA,NA,"MA1 MANNER-SUOMI","32",64
"93",NA,NA,"MK01 Uusimaa","18",38
"94",NA,NA,"MK02 Varsinais-Suomi","3",4
"95",NA,NA,"MK04 Satakunta","0",0
"96",NA,NA,"MK05 Kanta-Häme","0",0
"97",NA,NA,"MK06 Pirkanmaa","2",2
"98",NA,NA,"MK07 Päijät-Häme","0",0
"99",NA,NA,"MK08 Kymenlaakso","1",1
"100",NA,NA,"MK09 Etelä-Karjala","2",5
"101",NA,NA,"MK10 Etelä-Savo","1",1
"102",NA,NA,"MK11 Pohjois-Savo","0",0
"103",NA,NA,"MK12 Pohjois-Karjala","0",0
"104",NA,NA,"MK13 Keski-Suomi","0",0
"105",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"106",NA,NA,"MK15 Pohjanmaa","1",6
"107",NA,NA,"MK16 Keski-Pohjanmaa","1",2
"108",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"109",NA,NA,"MK18 Kainuu","0",0
"110",NA,NA,"MK19 Lappi","1",2
"111",NA,NA,"MA2 AHVENANMAA","0",0
"112",NA,NA,"MK21 Ahvenanmaa","0",0
"113",NA,"Kuljetus ja varastointi","KOKO MAA","17",94
"114",NA,NA,"MA1 MANNER-SUOMI","17",94
"115",NA,NA,"MK01 Uusimaa","2",13
"116",NA,NA,"MK02 Varsinais-Suomi","1",2
"117",NA,NA,"MK04 Satakunta","1",2
"118",NA,NA,"MK05 Kanta-Häme","1",2
"119",NA,NA,"MK06 Pirkanmaa","2",11
"120",NA,NA,"MK07 Päijät-Häme","1",2
"121",NA,NA,"MK08 Kymenlaakso","0",0
"122",NA,NA,"MK09 Etelä-Karjala","0",0
"123",NA,NA,"MK10 Etelä-Savo","0",0
"124",NA,NA,"MK11 Pohjois-Savo","4",5
"125",NA,NA,"MK12 Pohjois-Karjala","1",1
"126",NA,NA,"MK13 Keski-Suomi","0",0
"127",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"128",NA,NA,"MK15 Pohjanmaa","1",27
