"","kunta","vuosi","prod1","nobs"
"1","005",2013,1.41761451055544,2508
"2","009",2013,0.874601157184369,583
"3","010",2013,1.28533109979247,2937
"4","016",2013,2.12590744909599,1956
"5","018",2013,2.30060697366734,1094
"6","019",2013,1.75418176795676,887
"7","020",2013,2.1023962718751,2536
"8","035",2013,1.27356057084,156
"9","043",2013,1.38399722578394,292
"10","046",2013,1.30737318206554,325
"11","047",2013,1.64076446378787,441
"12","049",2013,1.4431593373197,37732
"13","050",2013,1.39344460020805,2647
"14","051",2013,2.11783728153669,1675
"15","052",2013,1.12783097021188,908
"16","060",2013,1.74551015516461,413
"17","061",2013,0.929304830859405,3910
"18","062",2013,1.07532878589874,113
"19","065",2013,1.05083054412477,115
"20","069",2013,0.940420896724656,1389
"21","071",2013,0.872986482012368,1446
"22","072",2013,1.10019831329434,201
"23","074",2013,1.4483307366812,367
"24","075",2013,1.82711571167777,3466
"25","076",2013,2.95638671219403,334
"26","077",2013,2.93138237167202,1185
"27","078",2013,1.61408427528757,1521
"28","079",2013,1.61684804634777,1128
"29","081",2013,1.43720652682209,1008
"30","082",2013,2.02075217085177,1670
"31","086",2013,2.10555590558001,1678
"32","090",2013,1.28910343445205,856
"33","091",2013,1.67440834616415,111938
"34","092",2013,1.18371695476843,29677
"35","097",2013,2.25829038361885,538
"36","098",2013,1.7311158411826,4131
"37","099",2013,1.45655791726269,629
"38","102",2013,1.55938697892729,3251
"39","103",2013,1.59301148004395,677
"40","105",2013,1.00786943014352,454
"41","106",2013,1.61201598803013,7666
"42","108",2013,2.43909010115621,2085
"43","109",2013,1.50307211764311,11339
"44","111",2013,1.5257391485758,3037
"45","139",2013,1.33630780361667,1442
"46","140",2013,0.840887222253451,4477
"47","142",2013,1.65665522696078,1576
"48","143",2013,2.06853151057444,1909
"49","145",2013,1.66492811575576,2475
"50","146",2013,1.14202169016955,985
"51","148",2013,1.42506082862393,1373
"52","149",2013,2.13821068766358,1417
"53","151",2013,1.50250046529983,734
"54","152",2013,1.55440298222382,1400
"55","153",2013,1.64809730183809,3859
"56","165",2013,1.11471042070981,3244
"57","167",2013,1.26952178937249,11687
"58","169",2013,2.03368305684611,980
"59","170",2013,1.07927307991988,1181
"60","171",2013,1.08722975777185,1060
"61","172",2013,1.97413563362031,1219
"62","174",2013,9.66978507922495,NA
"63","176",2013,1.78931328532684,977
"64","177",2013,1.95831577357198,577
"65","178",2013,1.57103854054612,1750
"66","179",2013,1.51405429649792,19279
"67","181",2013,1.29686983385664,665
"68","182",2013,1.33202141380169,4351
"69","186",2013,2.10668075891635,5791
"70","200",2013,10.9049346232809,85
"71","202",2013,1.7959369344124,5028
"72","204",2013,1.08816727173347,581
"73","205",2013,0.981524583223986,5633
"74","208",2013,0.864777573126076,3264
"75","211",2013,2.0815923611795,5366
